time,par,"(0.0124,0.0129]","(0.0129,0.0133]","(0.0133,0.0138]","(0.0138,0.0143]","(0.0143,0.0148]","(0.0148,0.0153]","(0.0153,0.0158]","(0.0158,0.0164]","(0.0164,0.017]","(0.017,0.0176]","(0.0176,0.0182]","(0.0182,0.0188]","(0.0188,0.0195]","(0.0195,0.0202]","(0.0202,0.0209]","(0.0209,0.0216]","(0.0216,0.0224]","(0.0224,0.0232]","(0.0232,0.024]","(0.024,0.0248]","(0.0248,0.0257]","(0.0257,0.0266]","(0.0266,0.0276]","(0.0276,0.0285]","(0.0285,0.0295]","(0.0295,0.0306]","(0.0306,0.0317]","(0.0317,0.0328]","(0.0328,0.0339]","(0.0339,0.0351]","(0.0351,0.0364]","(0.0364,0.0377]","(0.0377,0.039]","(0.039,0.0404]","(0.0404,0.0418]","(0.0418,0.0433]","(0.0433,0.0448]","(0.0448,0.0464]","(0.0464,0.048]","(0.048,0.0497]","(0.0497,0.0514]","(0.0514,0.0533]","(0.0533,0.0551]","(0.0551,0.0571]","(0.0571,0.0591]","(0.0591,0.0612]","(0.0612,0.0633]","(0.0633,0.0656]","(0.0656,0.0679]","(0.0679,0.0703]","(0.0703,0.0728]","(0.0728,0.0753]","(0.0753,0.078]","(0.078,0.0807]","(0.0807,0.0836]","(0.0836,0.0865]","(0.0865,0.0896]","(0.0896,0.0927]","(0.0927,0.096]","(0.096,0.0994]","(0.0994,0.103]","(0.103,0.106]","(0.106,0.11]","(0.11,0.114]","(0.114,0.118]"
2015-07-27T00:00:02Z,1987.91,0,0,0,119.59,551.952,1297.087,1628.259,2290.601,2796.557,2851.753,3090.932,3725.677,4185.637,4581.203,4682.394,4995.167,5823.095,5556.318,5675.908,5041.163,5823.095,4480.011,5455.127,4342.023,4516.808,4930.772,4581.203,4158.039,3495.697,3771.673,3679.681,3679.681,3256.518,3219.721,2299.801,2529.781,1959.43,1941.032,1609.86,1149.9,883.123,699.139,469.159,459.96,202.382,248.378,119.59,174.785,101.191,91.992,137.988,36.797,64.394,9.199,36.797,18.398,9.199,9.199,9.199,9.199,0,0,0,0,0
2015-07-27T00:03:02Z,2137.93,0,0,0,73.678,460.486,1307.779,1759.055,2495.832,2818.172,2762.914,3306.287,3426.013,4365.404,4614.066,4908.777,4512.759,6363.912,5433.731,5433.731,5332.424,5608.715,4678.534,5452.15,4549.598,4724.583,4789.051,4199.629,4402.243,3444.433,4033.854,3849.66,3554.949,3140.512,3278.658,2624.768,2735.285,2505.042,1777.475,1243.311,1151.214,930.181,672.309,442.066,460.486,506.534,349.969,294.711,294.711,110.517,82.887,110.517,36.839,27.629,36.839,46.049,18.419,9.21,0,9.21,0,0,0,0,0,0
2015-07-27T00:06:02Z,1981.03,0,0,0,187.03,533.036,1234.4,1645.866,2459.448,2739.993,3020.539,3151.46,3282.381,4385.86,4816.029,4984.357,5208.793,5956.914,5685.72,5124.629,5096.575,5676.369,4638.351,5068.52,4385.86,4713.163,5218.144,4264.29,4067.908,3731.254,3768.66,4030.502,3450.708,3656.442,3123.405,2702.587,2506.206,2253.715,1758.084,1215.697,1140.885,916.448,720.067,346.006,383.412,336.654,402.115,177.679,271.194,130.921,140.273,102.867,37.406,56.109,46.758,37.406,9.352,0,28.055,0,0,0,0,0,0,0
2015-07-27T00:09:02Z,1967,0,0,0,149.211,391.678,1361.547,2098.274,2471.301,2499.278,3114.771,3077.469,3180.051,4476.318,4625.529,4886.647,5063.835,5623.375,5352.93,5268.999,5287.651,5175.743,4886.647,5362.256,4662.831,4616.203,4914.624,4280.479,4075.315,3814.196,3637.008,3870.15,3590.38,3291.959,3217.354,2667.14,2639.163,2135.577,1734.573,1492.106,1072.451,885.938,643.471,484.934,410.329,363.701,261.119,149.211,223.816,102.582,83.931,83.931,83.931,37.303,9.326,37.303,18.651,9.326,9.326,9.326,0,0,0,0,0,0
2015-07-27T00:12:02Z,2041.37,0,0,0,160.962,539.696,1344.505,1808.454,2404.96,2745.82,3257.111,3266.579,3635.845,4345.971,4573.211,4686.831,5112.907,5292.805,5387.489,5160.248,5075.033,5368.552,5141.312,5311.742,4525.869,4469.059,4469.059,4364.907,4147.135,3777.87,4118.73,3882.022,3664.25,3162.427,3522.224,2660.605,2726.883,2187.188,1893.669,1429.72,1268.758,842.683,729.063,492.354,435.544,293.519,350.329,227.24,198.835,142.025,104.152,123.088,66.278,75.747,9.468,37.873,47.342,0,18.937,9.468,0,0,0,0,0,0
2015-07-27T00:15:03Z,2054.12,0,0,0,295.258,433.66,1347.114,1826.908,2325.156,2463.558,2869.538,3349.332,3183.249,4207.425,4733.353,4696.446,4594.951,5609.9,5526.859,5849.797,4991.704,5536.085,4927.116,5286.962,4410.415,4613.405,5093.199,4613.405,3912.167,3441.6,3672.27,3570.775,3580.002,3644.59,3229.383,2592.733,2620.414,2112.939,1799.228,1559.331,1384.021,1061.083,608.969,572.062,424.433,378.299,295.258,212.217,166.083,156.856,73.814,55.361,73.814,64.588,55.361,27.68,9.227,0,0,0,0,0,0,0,0,0
2015-07-27T00:18:03Z,2030.19,0,0,0,113.605,444.951,1391.655,1751.403,2461.431,2830.646,2915.85,3152.526,3512.273,4383.241,4648.319,4960.731,4837.66,5746.496,5831.699,5547.688,5301.545,6011.573,4818.725,5623.424,4515.78,4648.319,4761.923,4430.577,4440.044,3408.136,4165.499,3872.021,3588.01,3398.669,3161.993,2840.113,2622.371,2404.629,1893.409,1344.32,1183.381,984.573,672.16,482.819,407.083,293.478,312.412,255.61,227.209,151.473,151.473,75.736,47.335,94.67,18.934,37.868,28.401,18.934,18.934,9.467,9.467,0,0,0,0,0
2015-07-27T00:21:03Z,1990.93,0,0,0,177.903,496.255,1310.863,1685.396,2481.277,2640.454,3211.615,3492.515,3295.885,4232.216,4456.936,4747.198,5215.364,5421.357,5365.177,5224.727,5121.731,5411.993,4662.929,5627.35,4410.119,4794.015,4822.105,4578.659,4101.13,3595.511,4044.95,4091.767,3661.054,3408.245,3136.709,2799.63,2734.087,2162.925,2088.018,1657.306,1114.234,908.241,795.881,571.162,505.619,374.532,318.353,187.266,215.356,93.633,102.996,112.36,84.27,46.817,28.09,28.09,18.727,37.453,9.363,0,0,0,0,0,0,0
2015-07-27T00:24:03Z,2015.66,0,0,0,141.934,350.105,1485.58,1920.846,2479.121,2554.82,2857.613,2923.849,3586.21,4352.656,4494.59,5062.328,5156.951,6065.331,5374.584,5194.8,5374.584,5611.141,4806.846,5620.603,4239.108,4409.429,5185.338,4560.826,4447.279,3889.003,4286.42,3728.144,3482.125,3671.37,3207.718,2744.066,2942.774,2100.629,1911.384,1485.58,1305.797,1031.39,700.21,529.889,454.19,397.416,406.879,208.17,208.17,160.859,179.784,104.085,56.774,56.774,18.925,37.849,0,9.462,18.925,0,0,0,0,0,0,0
2015-07-27T00:27:04Z,1732.93,0,0,0,94.904,370.127,1176.814,1774.712,2533.946,2410.571,2856.621,3141.334,3283.691,4745.218,4213.754,4593.371,5134.326,5846.109,4991.969,5646.809,4982.479,5532.924,4878.084,5077.383,4384.581,4612.352,4716.747,4545.919,3758.213,3824.646,4033.435,4052.416,4042.926,3824.646,3473.5,3141.334,2913.564,2334.647,2230.252,1489.998,1385.604,1005.986,816.177,465.031,588.407,379.617,294.204,237.261,265.732,161.337,113.885,85.414,75.923,9.49,85.414,28.471,0,18.981,0,9.49,0,0,0,0,0,0
